id,loan_status
58645,0.9993407
58646,0.010808951
58647,0.3926911
58648,0.009763031
58649,0.02862193
58650,0.95699495
58651,0.0017714882
58652,0.005274995
58653,0.6740273
58654,0.008516467
58655,0.26664203
58656,0.11168531
58657,0.03463167
58658,0.0031765986
58659,0.0077261743
58660,0.074091636
58661,0.026293807
58662,0.003088648
58663,0.038507484
58664,0.0033287813
58665,0.025529465
58666,0.008631965
58667,0.0007655155
58668,0.009691561
58669,0.0068380525
58670,0.0002672032
58671,0.28887483
58672,0.0010319252
58673,0.9305904
58674,6.5514665e-05
58675,0.0018782844
58676,0.10297788
58677,0.014487933
58678,0.0016095793
58679,0.19474402
58680,0.9806003
58681,0.02307401
58682,0.0005296683
58683,0.007550574
58684,0.27031136
58685,0.14095886
58686,0.043420557
58687,0.8433896
58688,0.15601255
58689,0.17105813
58690,0.00013086734
58691,0.012241269
58692,0.010496167
58693,0.0065792915
58694,0.30482402
58695,0.98081964
58696,0.0070238044
58697,0.010404788
58698,0.0077745863
58699,0.005430517
58700,0.0029354151
58701,0.0029880777
58702,0.016859578
58703,0.22923815
58704,0.488745
58705,0.07871155
58706,0.036307804
58707,0.0043017445
58708,0.034502108
58709,0.9460918
58710,0.050264552
58711,0.9494734
58712,0.0791061
58713,0.00017412344
58714,0.027614804
58715,0.0075908257
58716,0.23109618
58717,0.03260579
58718,0.18242204
58719,0.010594629
58720,0.00044494896
58721,0.041370317
58722,0.2147173
58723,0.009695086
58724,0.008042396
58725,0.01016984
58726,0.0040759463
58727,0.29363316
58728,0.15745103
58729,0.0052597546
58730,0.0028044693
58731,0.006688376
58732,0.31253186
58733,0.0003246057
58734,0.0123283295
58735,0.009084655
58736,0.060649298
58737,0.042403094
58738,0.9972704
58739,0.54621816
58740,0.59176385
58741,0.08861124
58742,0.0007947607
58743,0.012049136
58744,0.0015447888
58745,0.010181669
58746,0.040446527
58747,0.00053403736
58748,0.0182796
58749,0.017238358
58750,0.0055081323
58751,0.031239957
58752,0.93736196
58753,0.0015392796
58754,0.039426632
58755,0.07240306
58756,0.0039303377
58757,0.0761599
58758,0.0043375953
58759,0.0051872004
58760,0.0014279615
58761,0.013917436
58762,0.0043206555
58763,0.98741174
58764,0.0010049643
58765,0.04007968
58766,0.005460031
58767,0.0078323465
58768,0.9431735
58769,0.0019735263
58770,0.021763008
58771,0.03989743
58772,0.0136914225
58773,0.014953399
58774,0.004164571
58775,0.9303848
58776,0.942635
58777,0.011181526
58778,0.074266225
58779,0.042129483
58780,0.0041739987
58781,0.011260965
58782,0.06793501
58783,0.038329925
58784,0.004238565
58785,0.0009706666
58786,0.01902722
58787,0.07037413
58788,0.17890681
58789,0.020091856
58790,0.036829323
58791,0.07094455
58792,0.00095886627
58793,0.02762915
58794,0.00545738
58795,0.010950432
58796,0.042781413
58797,0.016453568
58798,0.0714511
58799,0.82850164
58800,0.05045363
58801,0.0014282232
58802,0.9371183
58803,0.2801259
58804,0.5375011
58805,0.9018469
58806,0.044535637
58807,0.028768947
58808,0.025342846
58809,0.9941478
58810,0.96212125
58811,0.015027581
58812,0.034230653
58813,0.06182751
58814,0.017618183
58815,0.004142412
58816,0.005704284
58817,0.0011599974
58818,0.049654987
58819,0.10907503
58820,0.0009909865
58821,0.04913412
58822,0.0030267283
58823,0.106467634
58824,0.04778457
58825,0.0032708738
58826,0.051700894
58827,0.031408068
58828,0.0039566793
58829,0.045075264
58830,0.0076025515
58831,0.225209
58832,0.0020901603
58833,0.0072561973
58834,0.013654016
58835,0.96374226
58836,0.019495167
58837,0.11051724
58838,0.0018899534
58839,0.00062280364
58840,0.004686785
58841,0.96903026
58842,0.0014505527
58843,0.01336911
58844,0.030531403
58845,0.08141259
58846,0.00025142543
58847,0.94629604
58848,0.071642004
58849,0.15680744
58850,0.007580487
58851,0.15456302
58852,0.5273278
58853,0.031684
58854,0.9982285
58855,0.37281957
58856,0.0014967915
58857,0.074706614
58858,0.29191428
58859,0.019097418
58860,0.00056815415
58861,0.011168221
58862,0.13284557
58863,0.18639518
58864,0.012509087
58865,0.1456566
58866,0.0049956865
58867,0.00041634226
58868,0.015820114
58869,0.051045932
58870,0.26174578
58871,0.00089298905
58872,0.010248297
58873,0.016822902
58874,0.9723093
58875,0.004286738
58876,0.0023870266
58877,0.0007310441
58878,0.019212907
58879,0.007557599
58880,0.0014384402
58881,0.016713448
58882,0.00083629903
58883,0.16285908
58884,0.08297392
58885,0.10876301
